OrderID,OrderDate,CustomerName,Email,Product,Category,Quantity,UnitPrice,TotalAmount,PaymentMethod,City
ORD1000,12/11/2025,Hector Smith,jesse77@example.org,Router,Electronics,2,40582,,Cash,Chennai
ORD1001,2025-07-17,Leah Welch,tanyajones@example.com,Printer,Office,3,27257,81771,Debit Card,Bangalore
ORD1002,16/07/2025,Anne Brooks,alexandersmith@example.com,Tablet,Office,6,78201,469206,Cash,Bangalore
ORD1003,07-Sep-2024,Margaret Williams,jesusharris@example.net,Mouse,Office,5,31518,157590,Credit Card,Bangalore
ORD1004,12-20-2025,Laura Nichols,chris11@example.net,Keyboard,Office,6,7615,45690,Cash,Pune
ORD1005,32/01/2025,Kenneth Jackson,linda46@example.com,Laptop,Office,10,42147,421470,Cash,Chennai
ORD1006,10/08/2024,Kevin Kane,cindyle@example.net,Keyboard,Accessories,1,76708,76708,Credit Card,Chennai
ORD1007,01/10/2024,Alicia Smith,lanevictoria@example.net,Phone,Office,6,21587,129522,Cash,Pune
ORD1008,27-May-2026,Tracy Long,annasuarez@example.net,Mouse,Accessories,2,4918,9836,Credit Card,Chennai
ORD1009,28/01/2026,Sharon Shaw,michaelcruz@example.com,Printer,Electronics,7,33386,233702,Debit Card,Bangalore
ORD1010,01-Jul-2024,Christopher Krause,invalid_email,Phone,Office,9,47953,431577,UPI,Pune
ORD1011,2024/11/30,Diana Jones,anthonynewton@example.com,Printer,Accessories,9,17489,157401,UPI,Bangalore
ORD1012,12-19-2025,Gabriel Johnston,markcooper@example.net,Printer,Office,2,12531,25062,Debit Card,Mumbai
ORD1013,Aug 01 2025,Peter Clark,joanna54@example.com,Phone,Office,5,18409,92045,UPI,Delhi
ORD1014,11-03-2024,Dr. April Hamilton,sandralee@example.net,Router,Office,4,29976,119904,Credit Card,Bangalore
ORD1015,2025-13-15,Jason Smith,vsmith@example.org,Mouse,Electronics,8,19655,157240,Cash,Bangalore
ORD1016,Oct 06 2024,Laura Johnson,vargasadam@example.org,Phone,Accessories,3,23709,71127,Net Banking,Hyderabad
ORD1017,Oct 11 2025,Ashley Grant DDS,bsteele@example.com,Laptop,Electronics,10,27558,275580,Credit Card,Delhi
ORD1018,2024/06/19,Patricia Carroll,theresa89@example.org,Laptop,Office,2,62019,124038,Debit Card,Hyderabad
ORD1019,18/12/2025,Michael Morris,thomas87@example.org,Keyboard,Accessories,1,78645,78645,Cash,Chennai
